g.NS.time   B1.FAR      S1.N        B1.Wfuel    FNo.Tt      
2.66999999  0.02991057  10367.3932  32.4832759  3198.43007  
2.67999999  0.02991720  10368.4085  32.5017086  3198.93201  
2.68999999  0.02992378  10369.4200  32.5200480  3199.43050  
2.69999999  0.02993031  10370.4275  32.5382944  3199.92555  
2.70999999  0.02993679  10371.4312  32.5564476  3200.41717  
2.71999999  0.02994322  10372.4310  32.5745079  3200.90538  
2.72999999  0.02994959  10373.4269  32.5924751  3201.39019  
2.73999999  0.02995592  10374.4189  32.6103494  3201.87160  
2.74999999  0.02996220  10375.4069  32.6281308  3202.34963  
2.75999999  0.02996843  10376.3911  32.6458195  3202.82430  
2.76999999  0.02997461  10377.3713  32.6634154  3203.29560  
2.77999999  0.02998074  10378.3476  32.6809186  3203.76356  
2.78999999  0.02998683  10379.3199  32.6983292  3204.22819  
2.79999999  0.02999286  10380.2883  32.7156473  3204.68949  
2.80999999  0.02999885  10381.2528  32.7328729  3205.14748  
2.81999999  0.03000478  10382.2133  32.7500062  3205.60218  
2.82999999  0.03001067  10383.1698  32.7670472  3206.05358  
2.83999999  0.03001651  10384.1222  32.7839936  3206.50168  
2.84999999  0.03002231  10385.0705  32.8008479  3206.94652  
2.85999999  0.03002805  10386.0149  32.8176102  3207.38811  
2.86999999  0.03003375  10386.9554  32.8342805  3207.82646  
2.87999999  0.03003941  10387.8918  32.8508588  3208.26158  
2.88999999  0.03004501  10388.8242  32.8673454  3208.69348  
2.89999999  0.03005057  10389.7526  32.8837403  3209.12217  
2.90999999  0.03005608  10390.6771  32.9000437  3209.54768  
2.91999999  0.03006155  10391.5975  32.9162556  3209.97000  
2.92999999  0.03006697  10392.5139  32.9323761  3210.38915  
2.93999999  0.03007234  10393.4263  32.9484054  3210.80515  
2.94999999  0.03007767  10394.3347  32.9643436  3211.21800  
2.95999999  0.03008295  10395.2391  32.9801908  3211.62772  
2.96999999  0.03008819  10396.1395  32.9959471  3212.03431  
2.97999999  0.03009339  10397.0358  33.0116127  3212.43780  
2.98999999  0.03009853  10397.9281  33.0271876  3212.83819  
2.99999999  0.03010364  10398.8164  33.0426721  3213.23550  
3.00999999  0.03010870  10399.7007  33.0580662  3213.62973  
3.01999999  0.03011371  10400.5809  33.0733701  3214.02091  
3.02999999  0.03011868  10401.4571  33.0885840  3214.40903  
3.03999999  0.03012361  10402.3293  33.1037079  3214.79412  
3.04999999  0.03012849  10403.1974  33.1187420  3215.17619  
3.05999999  0.03013333  10404.0615  33.1336864  3215.55524  
3.06999999  0.03013813  10404.9216  33.1485414  3215.93130  
3.07999999  0.03014288  10405.7776  33.1633070  3216.30437  
3.08999999  0.03014759  10406.6296  33.1779834  3216.67446  
3.09999999  0.03015226  10407.4775  33.1925708  3217.04159  
3.10999999  0.03015689  10408.3215  33.2070693  3217.40577  
3.11999999  0.03016147  10409.1613  33.2214791  3217.76702  
3.12999999  0.03016602  10409.9972  33.2358004  3218.12533  
3.13999999  0.03017052  10410.8290  33.2500333  3218.48074  
3.14999999  0.03017497  10411.6567  33.2641779  3218.83324  
3.15999999  0.03017939  10412.4804  33.2782345  3219.18286  
3.16999999  0.03018377  10413.3001  33.2922032  3219.52960  
3.17999999  0.03018810  10414.1157  33.3060843  3219.87347  
3.18999999  0.03019240  10414.9274  33.3198778  3220.21449  
3.19999999  0.03019665  10415.7349  33.3335839  3220.55268  
3.20999999  0.03020086  10416.5385  33.3472029  3220.88804  
3.21999999  0.03020504  10417.3380  33.3607349  3221.22058  
3.22999999  0.03020917  10418.1334  33.3741801  3221.55032  
3.23999999  0.03021326  10418.9249  33.3875387  3221.87728  
3.24999999  0.03021732  10419.7123  33.4008109  3222.20145  
3.25999999  0.03022133  10420.4957  33.4139969  3222.52287  
3.26999999  0.03022531  10421.2751  33.4270968  3222.84153  
3.27999999  0.03022924  10422.0504  33.4401109  3223.15745  
3.28999999  0.03023314  10422.8217  33.4530393  3223.47064  
3.29999999  0.03023700  10423.5890  33.4658823  3223.78112  
3.30999999  0.03024082  10424.3523  33.4786401  3224.08889  
3.31999999  0.03024460  10425.1116  33.4913128  3224.39398  
3.32999999  0.03024835  10425.8669  33.5039007  3224.69639  
3.33999999  0.03025205  10426.6181  33.5164040  3224.99613  
3.34999999  0.03025572  10427.3654  33.5288228  3225.29322  
3.35999999  0.03025935  10428.1086  33.5411575  3225.58767  
3.36999999  0.03026295  10428.8479  33.5534081  3225.87949  
3.37999999  0.03026651  10429.5832  33.5655750  3226.16870  
3.38999999  0.03027003  10430.3144  33.5776583  3226.45531  
3.39999999  0.03027351  10431.0417  33.5896582  3226.73932  
3.40999999  0.03027696  10431.7650  33.6015751  3227.02076  
3.41999999  0.03028037  10432.4843  33.6134090  3227.29963  
3.42999999  0.03028375  10433.1997  33.6251602  3227.57595  
3.43999999  0.03028709  10433.9111  33.6368290  3227.84973  
3.44999999  0.03029039  10434.6185  33.6484156  3228.12097  
3.45999999  0.03029366  10435.3219  33.6599201  3228.38971  
3.46999999  0.03029689  10436.0214  33.6713429  3228.65594  
3.47999999  0.03030009  10436.7169  33.6826841  3228.91968  
3.48999999  0.03030326  10437.4085  33.6939440  3229.18094  
3.49999999  0.03030639  10438.0962  33.7051229  3229.43973  
3.50999999  0.03030948  10438.7799  33.7162209  3229.69608  
3.51999999  0.03031254  10439.4596  33.7272383  3229.94998  
3.52999999  0.03031557  10440.1355  33.7381753  3230.20145  
3.53999999  0.03031856  10440.8074  33.7490322  3230.45050  
3.54999999  0.03032152  10441.4754  33.7598092  3230.69715  
3.55999999  0.03032445  10442.1395  33.7705066  3230.94141  
3.56999999  0.03032734  10442.7996  33.7811246  3231.18329  
3.57999999  0.03033020  10443.4559  33.7916634  3231.42280  
3.58999999  0.03033303  10444.1083  33.8021234  3231.65996  
3.59999999  0.03033582  10444.7568  33.8125046  3231.89477  
3.60999999  0.03033859  10445.4014  33.8228075  3232.12726  
3.61999999  0.03034132  10446.0421  33.8330322  3232.35742  
3.62999999  0.03034401  10446.6790  33.8431791  3232.58528  
3.63999999  0.03034668  10447.3120  33.8532482  3232.81085  
3.64999999  0.03034931  10447.9411  33.8632400  3233.03414  
3.65999999  0.03035192  10448.5664  33.8731547  3233.25515  
3.66999999  0.03035449  10449.1878  33.8829924  3233.47391  
3.67999999  0.03035703  10449.8054  33.8927536  3233.69043  
3.68999999  0.03035954  10450.4192  33.9024384  3233.90472  
3.69999999  0.03036202  10451.0291  33.9120471  3234.11678  
3.70999999  0.03036447  10451.6352  33.9215799  3234.32664  
3.71999999  0.03036688  10452.2375  33.9310372  3234.53430  
3.72999999  0.03036927  10452.8361  33.9404192  3234.73978  
3.73999999  0.03037163  10453.4308  33.9497262  3234.94308  
3.74999999  0.03037396  10454.0217  33.9589583  3235.14423  
3.75999999  0.03037626  10454.6088  33.9681160  3235.34323  
3.76999999  0.03037853  10455.1922  33.9771994  3235.54010  
3.77999999  0.03038077  10455.7718  33.9862089  3235.73484  
3.78999999  0.03038298  10456.3477  33.9951446  3235.92747  
3.79999999  0.03038516  10456.9197  34.0040070  3236.11801  
3.80999999  0.03038732  10457.4881  34.0127962  3236.30645  
3.81999999  0.03038944  10458.0527  34.0215125  3236.49283  
3.82999999  0.03039154  10458.6136  34.0301562  3236.67714  
3.83999999  0.03039361  10459.1708  34.0387275  3236.85940  
3.84999999  0.03039565  10459.7243  34.0472269  3237.03962  
3.85999999  0.03039766  10460.2740  34.0556544  3237.21781  
3.86999999  0.03039965  10460.8201  34.0640105  3237.39399  
3.87999999  0.03040161  10461.3625  34.0722953  3237.56816  
3.88999999  0.03040354  10461.9012  34.0805092  3237.74035  
3.89999999  0.03040545  10462.4362  34.0886525  3237.91056  
3.90999999  0.03040732  10462.9676  34.0967254  3238.07879  
3.91999999  0.03040918  10463.4954  34.1047282  3238.24508  
3.92999999  0.03041100  10464.0195  34.1126612  3238.40942  
3.93999999  0.03041280  10464.5399  34.1205246  3238.57183  
3.94999999  0.03041457  10465.0568  34.1283189  3238.73231  
3.95999999  0.03041632  10465.5700  34.1360442  3238.89089  
3.96999999  0.03041804  10466.0797  34.1437008  3239.04758  
3.97999999  0.03041974  10466.5857  34.1512890  3239.20237  
3.98999999  0.03042141  10467.0882  34.1588092  3239.35530  
3.99999999  0.03042305  10467.5870  34.1662615  3239.50636  
4.00999999  0.03042467  10468.0824  34.1736463  3239.65558  
4.01999999  0.03042627  10468.5741  34.1809640  3239.80295  
4.02999999  0.03042784  10469.0623  34.1882146  3239.94850  
4.03999999  0.03042939  10469.5470  34.1953987  3240.09223  
4.04999999  0.03043091  10470.0282  34.2025164  3240.23416  
4.05999999  0.03043241  10470.5058  34.2095680  3240.37430  
4.06999999  0.03043388  10470.9799  34.2165538  3240.51266  
